"zcta","pop","pop10k","ethwhite","ethblack","ethlatin","ethasian","ethother","medianincome","medianincome1k","incomeunder25k","incomeover100k","capincome","housevalue","housevalue100k","edunohs","eduhs","educollege","empexec","gini","iceinc","iceedu","iceeth","hoodzscore","hoodquint","hooddecile"
95454,2256,0.2256,78.1914893617021,0.620567375886525,10.3280141843972,0.576241134751773,11.1258865248227,35375,35.375,33.7512054001929,8.87174541947927,22.854387656702,354800,3.548,15.4816513761468,84.5183486238532,19.4380733944954,10.9929078014184,0.4251,-0.248794599807136,0.0395642201834862,0.775709219858156,-2.07025552836934,"2","4"
95456,807,0.0807,96.7781908302354,0,1.85873605947955,1.36307311028501,0,51771,51.771,25.6410256410256,16.5242165242165,41.5954415954416,470300,4.703,0.741839762611276,99.2581602373887,40.6528189910979,23.9157372986369,0.5532,-0.0911680911680912,0.399109792284866,0.967781908302354,3.6298687115015,"4","8"
95457,3191,0.3191,76.9037919147603,0.626762770291445,12.5665935443435,1.62958320275776,10.0282043246631,47989,47.989,30.6655433866891,13.9848357203033,26.7902274641954,281000,2.81,17.9929266136163,82.0070733863837,10.0353669319187,7.48981510498276,0.4758,-0.166807076663858,-0.0795755968169761,0.762770291444688,-2.43634648409046,"2","4"
95458,2493,0.2493,71.9614921780987,5.33493782591256,4.57280385078219,0.521460088247092,19.5748094665062,26710,26.71,42.1198156682028,6.72811059907834,13.8248847926267,193400,1.934,8.66738894907909,91.3326110509209,9.64247020585049,6.05695948656237,0.4441,-0.353917050691244,0.00975081256771396,0.666265543521861,-4.56047422507463,"1","2"
95459,444,0.0444,57.6576576576577,0,40.0900900900901,0,3.82882882882883,35625,35.625,35.0785340314136,4.71204188481675,21.4659685863874,506600,5.066,29.4820717131474,70.5179282868526,28.2868525896414,5.63063063063063,0.4369,-0.303664921465969,-0.0119521912350598,0.576576576576577,-2.37330494780851,"2","4"
95460,2698,0.2698,83.2097850259452,0,10.8598962194218,4.1882876204596,1.74203113417346,65208,65.208,18.5660377358491,15.6981132075472,54.0377358490566,705000,7.05,1.61839863713799,98.381601362862,45.9965928449745,20.3484062268347,0.3888,-0.0286792452830188,0.443781942078365,0.832097850259451,5.76626749470976,"5","9"
95461,3598,0.3598,68.3713173985548,2.33463035019455,21.7342968315731,0,13.6464702612563,54777,54.777,22.2222222222222,22.8617106314948,13.6690647482014,295600,2.956,7.68344218209758,92.3165578179024,19.5159431425279,11.4785992217899,0.4053,0.00639488409272584,0.118325009604303,0.660366870483602,-1.52746356526593,"3","5"
95462,1277,0.1277,90.7595927956147,0,1.95771339075959,3.21064996084573,5.95144870790916,36094,36.094,31.4785373608903,10.1748807631161,30.6836248012719,319900,3.199,3.5964035964036,96.4035964035964,31.2687312687313,17.9326546593579,0.4072,-0.213036565977742,0.276723276723277,0.907595927956147,0.288040867676788,"3","6"
95463,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,-8.92200563937678,"1","1"
95464,2183,0.2183,76.6834631241411,1.32844709115896,14.6587265231333,0.0916170407695831,10.8108108108108,32674,32.674,44.4444444444444,2.6026026026026,22.4224224224224,189100,1.891,19.2121212121212,80.7878787878788,12.6666666666667,9.94044892349977,0.3344,-0.418418418418418,-0.0654545454545454,0.753550160329821,-3.5986868348135,"2","3"
95465,2279,0.2279,91.6191311978938,0,7.06450197455024,0,2.63273365511189,73295,73.295,18.511263467189,29.9706170421156,34.2801175318315,664300,6.643,0.494777350192413,99.5052226498076,56.6245189664651,23.3435717419921,0.4807,0.114593535749265,0.561297416162727,0.916191311978938,5.43972754965656,"5","9"
95466,910,0.091,41.7582417582418,4.06593406593407,48.3516483516484,0.879120879120879,9.89010989010989,57857,57.857,16.6666666666667,7.89473684210526,27.6315789473684,512500,5.125,22.7459016393443,77.2540983606557,31.3524590163934,14.0659340659341,0.3237,-0.087719298245614,0.0860655737704918,0.376923076923077,0.461135034994052,"3","6"
95467,6243,0.6243,77.5108121095627,0,17.1231779593144,1.36152490789684,6.02274547493192,59081,59.081,19.3812556869882,25.6596906278435,18.1983621474067,283300,2.833,7.02226572057744,92.9777342794226,23.1710300954245,13.7594105398046,0.3808,0.0627843494085532,0.161487643748471,0.775108121095627,-0.666043878940262,"3","5"
