"zip","zcta"
94153,94103
94154,94102
94156,94104
94158,94158
94159,94118
94160,94124
94161,94111
94162,94104
94163,94104
94164,94109
94171,94103
94172,94122
94177,94105
94188,94124
94203,95814
94204,95815
94205,95823
94206,95823
94207,95814
94208,95814
94209,95814
94211,95814
94229,95814
94230,95823
94232,95818
94234,95814
94235,95814
94236,95814
94237,95814
94239,95818
94240,95814
94244,95814
94245,95814
94246,95815
94247,95823
94248,95814
94249,95816
94250,95814
94252,95814
94254,95823
94256,95823
94257,95814
94258,95814
94259,95818
94261,95814
94262,95823
94263,95814
94267,95815
94268,95814
94269,95814
94271,95814
94273,95814
94274,95814
94277,95814
94278,95814
94279,95814
94280,95822
94282,95823
94283,95823
94284,95818
94285,95818
94286,95818
94287,95814
94288,95814
94289,95814
94290,95818
94291,95818
94293,95818
94294,95818
94295,95814
94296,95814
94297,95818
94298,95814
94299,95816
94301,94301
94302,94303
94303,94303
94304,94304
94305,94305
94306,94306
94309,94305
94401,94401
94402,94402
94403,94403
94404,94404
94497,94403
94501,94501
94502,94502
94503,94503
94505,94505
94506,94506
94507,94507
94508,94508
94509,94509
94510,94510
94511,94511
94512,94512
94513,94513
94514,94514
94515,94515
94516,94516
94517,94517
94518,94518
94519,94519
94520,94520
94521,94521
94522,94520
94523,94523
94524,94520
94525,94525
94526,94526
94527,94520
94528,94528
94529,94520
94530,94530
94531,94531
94533,94533
94534,94534
94535,94535
94536,94536
94537,94536
94538,94538
94539,94539
94540,94544
94541,94541
94542,94542
94543,94541
94544,94544
94545,94545
94546,94546
94547,94547
94548,94548
94549,94549
94550,94550
94551,94551
94552,94552
94553,94553
94555,94555
94556,94556
94557,94544
94558,94558
94559,94559
94560,94560
94561,94561
94562,94574
94563,94563
94564,94564
94565,94565
94566,94566
94567,94567
94568,94568
94569,94569
94570,94556
94571,94571
94572,94572
94573,94573
94574,94574
94575,94575
94576,94576
94577,94577
94578,94578
94579,94579
94580,94580
94581,94558
94582,94582
94583,94583
94585,94585
94586,94586
94587,94587
94588,94588
94589,94589
94590,94590
94591,94591
94592,94592
94595,94595
94596,94596
94597,94597
94598,94598
94599,94599
94601,94601
94602,94602
94603,94603
94604,94612
94605,94605
94606,94606
94607,94607
94608,94608
94609,94609
94610,94610
94611,94611
94612,94612
94613,94613
94614,94621
94615,94607
94617,94607
94618,94618
94619,94619
94620,94601
94621,94621
94622,94577
94623,94607
94624,94603
94649,94612
94659,94612
94660,94607
94661,94611
94662,94608
94666,94612
94701,94704
94702,94702
94703,94703
94704,94704
94705,94705
94706,94706
94707,94707
94708,94708
94709,94709
94710,94710
94712,94704
94720,94720
94801,94801
94802,94801
94803,94803
94804,94804
94805,94805
94806,94806
94807,94801
94808,94804
94820,94803
94850,94850
94901,94901
94903,94903
94904,94904
94912,94903
94913,94903
94914,94903
94915,94901
94920,94920
94922,94922
94923,94923
94924,94924
94925,94925
94926,94928
94927,94928
94928,94928
94929,94929
94930,94930
94931,94931
94933,94933
94937,94937
94938,94938
94939,94939
94940,94940
94941,94941
94942,94941
94945,94945
94946,94946
94947,94947
94948,94947
94949,94949
94950,94950
94951,94951
94952,94952
94953,94952
94954,94954
94955,94952
94956,94956
94957,94957
94960,94960
94963,94963
94964,94964
94965,94965
94966,94965
94970,94970
94971,94971
94972,94972
94973,94973
94974,94964
94975,94952
94976,94925
94977,94939
94978,94930
94979,94960
94998,94947
94999,94954
95001,95003
95002,95002
95003,95003
95004,95004
95005,95005
95006,95006
95007,95007
95008,95008
95009,95008
95010,95010
95011,95008
95012,95012
95013,95013
95014,95014
95015,95014
95017,95017
95018,95018
95019,95019
95020,95020
95021,95020
95023,95023
95024,95023
95026,95033
95030,95030
95031,95030
95032,95032
95033,95033
95035,95035
95036,95035
95037,95037
95038,95037
95039,95039
95041,95041
95042,95120
95043,95043
95044,95033
95045,95045
95046,95046
95050,95050
95051,95051
95052,95050
95053,95053
95054,95054
95055,95051
95056,95054
95060,95060
95061,95060
95062,95062
95063,95062
95064,95064
95065,95065
95066,95066
95067,95066
95070,95070
95071,95070
95073,95073
95075,95075
95076,95076
95077,95076
95101,95131
95103,95113
95106,95113
95108,95113
95109,95113
95110,95110
95111,95111
95112,95112
95113,95113
95115,95113
95116,95116
95117,95117
95118,95118
95119,95119
95120,95120
95121,95121
95122,95122
95123,95123
95124,95124
95125,95125
95126,95126
95127,95127
95128,95128
95129,95129
95130,95130
95131,95131
95132,95132
95133,95133
95134,95134
95135,95135
95136,95136
95138,95138
95139,95139
95140,95140
95141,95037
95148,95148
95150,95131
95151,95121
95152,95132
95153,95123
95154,95124
95155,95125
95156,95116
95157,95130
95158,95118
95159,95128
95160,95120
95161,95131
95164,95134
95170,95129
95172,95113
95173,95122
95190,95131
95191,95126
95192,95112
95193,95123
95194,95110
95196,95113
95201,95206
95202,95202
95203,95203
95204,95204
95205,95205
95206,95206
95207,95207
95208,95206
95209,95209
95210,95210
95211,95211
95212,95212
95213,95206
95215,95215
95219,95219
95220,95220
95221,95222
95222,95222
95223,95223
95224,95224
95225,95225
95226,95226
95227,95227
95228,95228
95229,95251
95230,95230
95231,95231
95232,95232
95233,95233
95234,95234
95236,95236
95237,95237
95240,95240
95241,95240
95242,95242
95245,95245
95246,95246
95247,95247
95248,95248
95249,95249
95250,95250
95251,95251
95252,95252
95253,95240
95254,95254
95255,95255
95257,95257
95258,95258
95267,95207
95269,95207
95296,95206
95297,95204
95301,95301
95303,95303
95304,95304
95305,95305
95306,95306
95307,95307
