"providerid","residentnum","residency","residencygu"
51137,0,FALSE,FALSE
51138,0,FALSE,FALSE
51139,0,FALSE,FALSE
51140,0,FALSE,FALSE
51141,0,FALSE,FALSE
51142,0,FALSE,FALSE
51143,0,FALSE,FALSE
51144,0,FALSE,FALSE
51145,0,FALSE,FALSE
51146,0,FALSE,FALSE
51147,0,FALSE,FALSE
51148,0,FALSE,FALSE
51150,0,FALSE,FALSE
51151,0,FALSE,FALSE
51153,0,FALSE,FALSE
51154,0,FALSE,FALSE
51155,0,FALSE,FALSE
51156,0,FALSE,FALSE
51157,0,FALSE,FALSE
51158,0,FALSE,FALSE
5115,0,FALSE,FALSE
51161,0,FALSE,FALSE
51162,0,FALSE,FALSE
51163,0,FALSE,FALSE
51164,0,FALSE,FALSE
51165,0,FALSE,FALSE
51166,0,FALSE,FALSE
51167,0,FALSE,FALSE
51168,0,FALSE,FALSE
51169,0,FALSE,FALSE
51170,0,FALSE,FALSE
51171,0,FALSE,FALSE
51172,0,FALSE,FALSE
51173,0,FALSE,FALSE
51174,0,FALSE,FALSE
51175,0,FALSE,FALSE
51176,0,FALSE,FALSE
51177,0,FALSE,FALSE
51178,0,FALSE,FALSE
51179,0,FALSE,FALSE
51180,0,FALSE,FALSE
51181,0,FALSE,FALSE
51182,0,FALSE,FALSE
51183,0,FALSE,FALSE
51184,0,FALSE,FALSE
51185,0,FALSE,FALSE
51186,0,FALSE,FALSE
51187,0,FALSE,FALSE
51188,0,FALSE,FALSE
51189,0,FALSE,FALSE
51191,0,FALSE,FALSE
51192,0,FALSE,FALSE
51193,0,FALSE,FALSE
51194,0,FALSE,FALSE
51195,0,FALSE,FALSE
51196,0,FALSE,FALSE
51197,0,FALSE,FALSE
51198,0,FALSE,FALSE
51199,0,FALSE,FALSE
5127,0,FALSE,FALSE
51300,0,FALSE,FALSE
51301,0,FALSE,FALSE
51302,0,FALSE,FALSE
51303,0,FALSE,FALSE
51304,0,FALSE,FALSE
51305,0,FALSE,FALSE
51306,0,FALSE,FALSE
51307,0,FALSE,FALSE
51308,0,FALSE,FALSE
51309,0,FALSE,FALSE
