ZIPCODEN,ZIPCODEA,ZIPTYPE,RESZIPN,RESZIPA,RUCA30
2461,2461,1,2461,2461,1
2462,2462,1,2462,2462,1
2464,2464,1,2464,2464,1
2465,2465,1,2465,2465,1
2466,2466,1,2466,2466,1
2467,2467,1,2467,2467,1
2468,2468,1,2468,2468,1
2471,2471,2,2472,2472,1
2472,2472,1,2472,2472,1
2474,2474,1,2474,2474,1
2475,2475,2,2476,2476,1
2476,2476,1,2476,2476,1
2477,2477,2,2138,2138,1
2478,2478,1,2478,2478,1
2479,2479,2,2478,2478,1
2481,2481,1,2481,2481,1
2482,2482,1,2482,2482,1
2492,2492,1,2492,2492,1
2493,2493,1,2493,2493,1
2494,2494,1,2494,2494,1
2495,2495,2,2459,2459,1
2532,2532,1,2532,2532,1.1
2534,2534,2,2559,2559,1.1
2535,2535,1,2535,2535,10.2
2536,2536,1,2536,2536,1.1
2537,2537,1,2537,2537,1.1
2538,2538,1,2538,2538,1.1
2539,2539,1,2539,2539,4
2540,2540,1,2540,2540,1.1
2541,2541,2,2540,2540,1.1
2542,2542,1,2542,2542,1.1
2543,2543,1,2543,2543,1.1
2552,2552,2,2535,2535,10.2
2553,2553,2,2532,2532,1.1
2554,2554,1,2554,2554,7
2556,2556,1,2556,2556,1.1
2557,2557,2,2568,2568,4
2558,2558,2,2538,2538,1.1
2559,2559,1,2559,2559,1.1
2561,2561,2,2532,2532,1.1
2562,2562,1,2562,2562,1.1
2563,2563,1,2563,2563,1.1
2564,2564,2,2554,2554,7
2565,2565,2,2556,2556,1.1
2568,2568,1,2568,2568,4
2571,2571,1,2571,2571,1.1
2573,2573,2,2568,2568,4
2574,2574,2,2540,2540,1.1
2575,2575,1,2575,2575,10.2
2576,2576,1,2576,2576,1.1
2584,2584,2,2554,2554,7
2601,2601,1,2601,2601,1.1
2630,2630,1,2630,2630,1.1
2631,2631,1,2631,2631,1.1
2632,2632,1,2632,2632,1.1
2633,2633,1,2633,2633,1.1
2634,2634,2,2632,2632,1.1
2635,2635,1,2635,2635,1.1
2637,2637,2,2630,2630,1.1
2638,2638,1,2638,2638,1.1
2639,2639,1,2639,2639,1.1
2641,2641,2,2660,2660,1.1
2642,2642,1,2642,2642,1.1
2643,2643,2,2653,2653,1.1
2644,2644,1,2644,2644,1.1
2645,2645,1,2645,2645,1.1
2646,2646,1,2646,2646,1.1
2647,2647,2,2601,2601,1.1
2648,2648,1,2648,2648,1.1
2649,2649,1,2649,2649,1.1
2650,2650,1,2650,2650,1.1
2651,2651,2,2642,2642,1.1
2652,2652,1,2652,2652,10.3
2653,2653,1,2653,2653,1.1
2655,2655,1,2655,2655,1.1
2657,2657,1,2657,2657,7
2659,2659,1,2659,2659,1.1
2660,2660,1,2660,2660,1.1
2661,2661,2,2645,2645,1.1
2662,2662,2,2653,2653,1.1
2663,2663,2,2631,2631,1.1
2664,2664,1,2664,2664,1.1
2666,2666,1,2666,2666,10.3
2667,2667,1,2667,2667,10.1
2668,2668,1,2668,2668,1.1
2669,2669,2,2633,2633,1.1
2670,2670,1,2670,2670,1.1
2671,2671,1,2671,2671,1.1
2672,2672,2,2632,2632,1.1
2673,2673,1,2673,2673,1.1
2675,2675,1,2675,2675,1.1
2702,2702,1,2702,2702,1.1
2703,2703,1,2703,2703,1.1
2712,2712,2,2766,2766,1
2713,2713,1,2713,2713,10.2
2714,2714,2,2748,2748,1.1
2715,2715,1,2715,2715,1
2717,2717,1,2717,2717,1.1
2718,2718,1,2718,2718,1
2719,2719,1,2719,2719,1.1
2720,2720,1,2720,2720,1.1
2721,2721,1,2721,2721,1.1
2722,2722,2,2721,2721,1.1
2723,2723,1,2723,2723,1.1
2724,2724,1,2724,2724,1.1
2725,2725,1,2725,2725,1.1
2726,2726,1,2726,2726,1.1
2738,2738,1,2738,2738,1.1
2739,2739,1,2739,2739,1.1
2740,2740,1,2740,2740,1.1
2741,2741,2,2740,2740,1.1
2742,2742,2,2740,2740,1.1
2743,2743,1,2743,2743,1.1
2744,2744,1,2744,2744,1.1
2745,2745,1,2745,2745,1.1
2746,2746,1,2746,2746,1.1
2747,2747,1,2747,2747,1.1
2748,2748,1,2748,2748,1.1
2760,2760,1,2760,2760,1.1
2762,2762,1,2762,2762,1.1
2763,2763,1,2763,2763,1.1
2764,2764,1,2764,2764,1
2766,2766,1,2766,2766,1
2767,2767,1,2767,2767,1
2768,2768,2,2767,2767,1
2769,2769,1,2769,2769,2.1
2770,2770,1,2770,2770,3
2771,2771,1,2771,2771,1.1
2777,2777,1,2777,2777,1.1
2779,2779,1,2779,2779,1
2780,2780,1,2780,2780,1
2783,2783,2,2379,2379,1
2790,2790,1,2790,2790,1.1
2791,2791,2,2790,2790,1.1
2801,2801,2,2837,2837,2
2802,2802,2,2838,2838,1.1
2804,2804,1,2804,2804,2.1
2806,2806,1,2806,2806,1.1
2807,2807,1,2807,2807,10
2808,2808,1,2808,2808,1
2809,2809,1,2809,2809,1.1
2812,2812,1,2812,2812,2
2813,2813,1,2813,2813,2
2814,2814,1,2814,2814,2
2815,2815,1,2815,2815,2
2816,2816,1,2816,2816,1.1
2817,2817,1,2817,2817,2
2818,2818,1,2818,2818,1.1
2822,2822,1,2822,2822,2
2823,2823,2,2831,2831,1.1
2824,2824,2,2859,2859,1.1
2825,2825,1,2825,2825,2
2826,2826,2,2830,2830,1.1
2827,2827,1,2827,2827,2
2828,2828,1,2828,2828,1.1
2829,2829,2,2814,2814,2
2830,2830,1,2830,2830,1.1
2831,2831,1,2831,2831,1.1
2832,2832,1,2832,2832,2.1
2833,2833,1,2833,2833,2.1
2835,2835,1,2835,2835,1.1
2836,2836,1,2836,2836,2
2837,2837,1,2837,2837,2
2838,2838,1,2838,2838,1.1
2839,2839,1,2839,2839,1.1
2840,2840,1,2840,2840,1.1
2841,2841,1,2841,2841,1.1
2842,2842,1,2842,2842,1.1
2852,2852,1,2852,2852,1.1
2857,2857,1,2857,2857,2
2858,2858,1,2858,2858,1.1
2859,2859,1,2859,2859,1.1
2860,2860,1,2860,2860,1.1
2861,2861,1,2861,2861,1.1
2862,2862,2,2860,2860,1.1
2863,2863,1,2863,2863,1.1
2864,2864,1,2864,2864,1.1
2865,2865,1,2865,2865,1.1
2871,2871,1,2871,2871,1.1
2872,2872,1,2872,2872,1.1
2873,2873,1,2873,2873,2.1
2874,2874,1,2874,2874,1.1
